Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-12-17 20:48 (-08),On Demand,Olivia Amato,20,Cycling,Beginner,20 min Beginner Ride,2020-11-29 08:45 (-08),190,158,46%,78,18.73,6.24,277,,,
2020-12-19 08:33 (PST),On Demand,Cody Rigsby,30,Cycling,Theme,"30 min XOXO, Cody: Festive Fantasy",2020-12-15 16:20 (PST),95,133,43%,83,17.81,3.53,139,,,
2020-12-19 08:47 (PST),On Demand,Sam Yo,20,Cycling,Music,20 min 2010s Ride,2020-12-15 23:25 (PST),111,140,50%,66,17.19,3.77,162,,,
2020-12-21 08:54 (PST),On Demand,Jess Sims,20,Strength,Bodyweight,20 min Year of Yes Bodyweight Strength,2020-12-21 07:00 (PST),,,,,,,109,,,
2020-12-22 08:48 (PST),On Demand,Ben Alldis,45,Cycling,Music,45 min 2010s Ride,2020-12-16 09:25 (PST),444,165,49%,76,19.11,14.34,650,,,
2020-12-22 09:35 (PST),Live,Hannah Frankson,30,Cycling,Music,30 min Pop Ride,2020-12-22 09:24 (PST),0,12,31%,29,5.15,0.02,0,,,
2020-12-22 09:36 (PST),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-10 22:45 (PST),,,,,,,14,,,
2020-12-26 09:21 (PST),On Demand,Denis Morton,20,Cycling,Music,20 min 90s Ride,2020-12-22 08:54 (PST),225,187,49%,81,20.02,6.67,329,,,
2020-12-26 09:46 (PST),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-16 06:00 (PST),,,,,,,14,,,
2020-12-28 12:12 (PST),On Demand,Denis Morton,20,Cycling,Music,20 min 90s Ride,2020-12-22 08:54 (PST),256,213,53%,76,20.77,6.92,374,,,
2020-12-28 12:36 (PST),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-16 06:00 (PST),,,,,,,14,,,
2020-12-29 07:03 (PST),On Demand,Aditi Shah,20,Yoga,Focus Flow,20 min Yoga Flow: Core,2020-11-10 05:28 (PST),,,,,,,73,,,
2020-12-30 09:16 (PST),On Demand,Sam Yo,20,Cycling,Music,20 min 2010s Ride,2020-12-15 23:25 (PST),229,191,53%,73,20.29,6.76,335,,,
2020-12-30 09:40 (PST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-21 05:30 (PST),,,,,,,14,,,
2020-12-30 21:16 (PST),On Demand,Anna Greenberg,10,Meditation,Emotions,10 min Kindness Meditation,2020-12-29 15:45 (PST),,,,,,,,,,
2020-12-31 09:00 (PST),On Demand,Matty Maggiacomo,20,Running,Music,20 min Remix Run,2020-12-29 16:00 (PST),,,,,,,241,,,
2020-12-31 15:32 (PST),On Demand,Anna Greenberg,5,Meditation,Audio Only,5 min Kindness Meditation,2020-12-07 08:00 (PST),,,,,,,,,,
2021-01-02 15:31 (PST),On Demand,Alex Toussaint,15,Cycling,Music,15 min Hip Hop Ride,2020-12-24 06:00 (PST),139,155,46%,77,18.34,4.57,203,,,
2021-01-02 15:48 (PST),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-10-28 06:00 (PST),,,,,,,14,,,
2021-01-03 20:40 (PST),On Demand,Kristin McGee,10,Meditation,Emotions,10 min Happiness Meditation,2020-12-20 06:38 (PST),,,,,,,,,,
2021-01-04 09:02 (PST),On Demand,,10,Cycling,Scenic Ride,10 min New Zealand Scenic Ride,,7,73,39%,68,14.09,0.37,10,,,
2021-01-04 09:05 (PST),On Demand,Kendall Toole,30,Cycling,Theme,30 min Peloton Top 50 of 2020 (#10 - 01),2020-12-30 16:23 (PST),272,151,47%,76,18.78,9.39,399,,,
2021-01-04 09:36 (PST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-21 05:30 (PST),,,,,,,14,,,
2021-01-04 09:51 (PST),On Demand,Ross Rayburn,5,Meditation,Emotions,5 min Gratitude Meditation,2020-11-20 07:00 (PST),,,,,,,,,,
2021-01-05 07:58 (-08),On Demand,Ben Alldis,20,Cycling,Music,20 min 2000s Ride,2020-10-04 22:19 (-08),250,209,49%,86,21.06,7.01,366,,,
2021-01-05 08:19 (-08),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-13 08:45 (-08),,,,,,,14,,,
2021-01-05 08:29 (-08),On Demand,Chelsea Jackson Roberts,10,Meditation,Emotions,10 min Kindness Meditation,2021-01-04 15:37 (-08),,,,,,,,,,
2021-01-05 21:26 (PST),On Demand,Anna Greenberg,5,Meditation,Audio Only,5 min Calming Meditation,2021-01-05 08:00 (PST),,,,,,,,,,
2021-01-06 08:13 (PST),On Demand,Denis Morton,20,Yoga,Flow,20 min Yoga Flow,2019-09-17 15:32 (PST),,,,,,,14,,,
